<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STA,D,20200827,000000,168,168,108,147,19025,0
STA,D,20200828,000000,147,149.98,112.1,114.5,5945,0
STA,D,20200831,000000,118.98,118.98,95,95,4530,0
STA,D,20200901,000000,88.2,93,84,84.1,3841,0
STA,D,20200902,000000,83,118,83,109.98,4203,0
STA,D,20200903,000000,115.5,118,97.4,109.98,1904,0
STA,D,20200904,000000,104.88,109,99,105,497,0
STA,D,20200907,000000,108,113.4,99,99,998,0
STA,D,20200908,000000,99,103.5,90,96,1345,0
STA,D,20200909,000000,96,105,91.02,105,576,0
STA,D,20200910,000000,109,114.9,100,108,579,0
STA,D,20200911,000000,112,112,102,102,172,0
STA,D,20200914,000000,110.5,110.5,104,108.9,370,0
STA,D,20200915,000000,115,136,109,127.2,2933,0
STA,D,20200916,000000,138.64,139,125,136,1283,0
STA,D,20200917,000000,139.92,139.92,118.4,132,918,0
STA,D,20200918,000000,132,133.7,130,133.7,102,0
STA,D,20200921,000000,133.7,133.7,125,128,173,0
STA,D,20200922,000000,128.5,128.5,122,127.7,192,0
STA,D,20200923,000000,127.8,127.8,124,124,54,0
STA,D,20200924,000000,123,123,111.02,116,214,0
