<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTG,D,20080206,000000,0.25,0.29,0.21,0.26,16287294,0
BTG,D,20080207,000000,0.25,0.26,0.21,0.23,5402150,0
BTG,D,20080208,000000,0.24,0.25,0.21,0.23,3858309,0
BTG,D,20080211,000000,0.22,0.23,0.2,0.21,1660090,0
BTG,D,20080212,000000,0.22,0.22,0.18,0.2,2541648,0
BTG,D,20080213,000000,0.2,0.21,0.19,0.2,1069257,0
BTG,D,20080214,000000,0.2,0.23,0.2,0.23,2177783,0
BTG,D,20080215,000000,0.22,0.22,0.2,0.21,758689,0
BTG,D,20080218,000000,0.21,0.23,0.2,0.22,1502531,0
BTG,D,20080219,000000,0.22,0.26,0.21,0.26,5083101,0
BTG,D,20080220,000000,0.26,0.31,0.25,0.31,7681949,0
BTG,D,20080221,000000,0.31,0.34,0.25,0.29,6743187,0
BTG,D,20080222,000000,0.27,0.29,0.26,0.26,1423094,0
BTG,D,20080225,000000,0.26,0.29,0.26,0.27,846938,0
BTG,D,20080226,000000,0.28,0.31,0.27,0.28,2478206,0
BTG,D,20080227,000000,0.28,0.33,0.28,0.33,8008863,0
BTG,D,20080228,000000,0.33,0.35,0.3,0.3,4827253,0
BTG,D,20080229,000000,0.3,0.3,0.27,0.28,2743131,0
BTG,D,20080303,000000,0.27,0.3,0.27,0.3,2459154,0
BTG,D,20080304,000000,0.3,0.31,0.28,0.3,1051381,0
BTG,D,20080305,000000,0.3,0.32,0.3,0.31,1451542,0
BTG,D,20080306,000000,0.32,0.33,0.31,0.31,2157657,0
BTG,D,20080307,000000,0.3,0.31,0.3,0.31,416122,0
BTG,D,20080310,000000,0.3,0.31,0.29,0.3,287295,0
BTG,D,20080311,000000,0.29,0.3,0.28,0.29,1150277,0
BTG,D,20080312,000000,0.28,0.29,0.27,0.28,782166,0
BTG,D,20080313,000000,0.28,0.29,0.27,0.27,976106,0
BTG,D,20080314,000000,0.27,0.28,0.26,0.28,587915,0
BTG,D,20080317,000000,0.27,0.27,0.26,0.27,746563,0
BTG,D,20080318,000000,0.27,0.28,0.25,0.27,558202,0
BTG,D,20080319,000000,0.28,0.28,0.26,0.27,71567,0
BTG,D,20080320,000000,0.26,0.26,0.25,0.26,848181,0
BTG,D,20080325,000000,0.26,0.27,0.26,0.27,256008,0
BTG,D,20080326,000000,0.26,0.26,0.25,0.25,754138,0
BTG,D,20080327,000000,0.26,0.26,0.24,0.25,482846,0
BTG,D,20080328,000000,0.25,0.27,0.24,0.26,997949,0
BTG,D,20080331,000000,0.26,0.27,0.25,0.26,904130,0
BTG,D,20080401,000000,0.26,0.26,0.25,0.26,195988,0
BTG,D,20080402,000000,0.26,0.26,0.24,0.25,514582,0
BTG,D,20080403,000000,0.25,0.25,0.24,0.25,92849,0
BTG,D,20080404,000000,0.24,0.25,0.24,0.25,128922,0
BTG,D,20080407,000000,0.25,0.25,0.24,0.24,268884,0
BTG,D,20080408,000000,0.24,0.26,0.23,0.25,951533,0
BTG,D,20080409,000000,0.24,0.25,0.24,0.25,428610,0
